Latitude,Longitude,Sample Date,med_blue,med_green,med_red,med_nir,med_swir16,med_swir22,med_st_b10,med_NDMI,med_MNDWI,med_NDVI,med_NDTI,med_NDBI,med_UrbanScore,med_EVI,median_LST,urban_ratio,water_ratio,veg_ratio,bare_ratio,hot_ratio,corr_NDVI_LST,corr_NDBI_LST,corr_MNDWI_LST
-28.760833,17.730278,02-01-2011,9629.0,11574.0,12802.0,11334.0,8032.0,7925.0,44768.0,0.17050500877827032,0.18065898194430186,-0.06082200861783204,0.05037742041352129,-0.17050500877827032,-0.10968300016043828,-0.2303901566276391,44768.0,0.10833333333333334,0.7,0.025,0.0,0.25,0.6214807594225051,0.8598947379808884,-0.8986607171926263
-26.861111,28.884722,03-01-2011,8506.0,9481.5,9019.0,19566.0,13831.0,10574.0,45010.0,0.17172201095906767,-0.18657372654155419,0.3689697393737962,-0.024999324342585203,-0.17172201095906767,-0.5406917503328639,2.66715557353831,45010.0,0.0,0.0,0.8363636363636363,0.0,0.24545454545454545,0.6527640132686513,-0.5799760960664462,-0.5287486188464009
-26.45,28.085833,03-01-2011,9354.0,10502.0,12247.0,14937.0,17587.0,13800.0,41452.0,-0.08147829295289608,-0.25223397059346986,0.09895526780459057,0.07670666842498539,0.08147829295289608,-0.0174769748516945,0.36819052833287513,41452.0,0.9818181818181818,0.0,0.0,0.0,0.23636363636363636,-0.23581746807317752,0.2351080053041551,0.04961436011707778
-27.671111,27.236944,03-01-2011,9461.5,10669.0,10794.0,15691.5,13705.5,10815.0,45775.5,0.06755791407286435,-0.12457691439824356,0.1849124992920648,0.0058239761449936835,-0.06755791407286435,-0.25247041336492915,1.2894605197335374,45775.5,0.12727272727272726,0.14545454545454545,0.09090909090909091,0.0,0.2545454545454545,-0.4373837624048227,0.6981598982625379,-0.044858898247313816
-27.356667,27.286389,03-01-2011,8784.5,9650.0,9403.0,16613.5,13495.5,10103.0,44596.0,0.10355707595735461,-0.16614460694303357,0.2771510387638603,-0.012963837715845207,-0.10355707595735461,-0.3807081147212149,2.521594684385347,44596.0,0.0,0.0,0.17272727272727273,0.0,0.2545454545454545,-0.5463584048654158,0.7128556399564603,-0.5255285988356379
-27.01011111,26.69808333,04-01-2011,9139.0,10013.5,9990.0,13665.0,10370.0,8796.0,44364.0,0.13709174121073378,-0.017489636225378285,0.15535827520608686,-0.001174794410978073,-0.13709174121073378,-0.29245001641682067,1.8144564036733126,44364.0,0.0,0.44545454545454544,0.19090909090909092,0.0,0.2545454545454545,0.636908303980368,-0.2187968673233995,-0.6463164388180987
-25.127778,27.628889,04-01-2011,,,,,,,,,,,,,,,,0.05454545454545454,0.0,0.00909090909090909,0.0,0.23636363636363636,0.9799614186294974,-0.7207395439375036,-0.9071052316450295
-25.20639,27.558,04-01-2011,9870.5,10387.0,9899.5,14931.0,10810.0,8739.0,44418.0,0.16009479041218228,-0.019955654101995474,0.20263385755421678,-0.02403075937199604,-0.16009479041218228,-0.36272864796639903,41.89425478766299,44418.0,0.0,0.07272727272727272,0.16363636363636364,0.0,0.2545454545454545,0.9454570579961885,-0.823468576757522,-0.7235502046318336
-24.69514,27.40906,04-01-2011,9707.0,10428.0,9996.0,17207.0,13631.0,10440.0,45345.0,0.11596082755042443,-0.13313105282846283,0.2650810572363333,-0.02115158636897757,-0.11596082755042443,-0.3810418847867577,4.114458518772016,45345.0,0.0,0.06611570247933884,0.2892561983471074,0.0,0.2396694214876033,0.8578812705446698,-0.7810143245934454,-0.6812365075880773
-26.98472222,26.63227778,04-01-2011,9549.5,10632.0,10665.5,15058.0,16199.0,13044.0,46900.0,-0.036503823143615714,-0.2074838805858887,0.17075825606935227,0.0015729545721328722,0.036503823143615714,-0.13425443292573655,1.4778117955791612,46900.0,0.8272727272727273,0.0,0.0,0.0,0.21818181818181817,-0.052145421153532504,0.5791136293346258,-0.4812302788833721
