sample_lat,sample_lon,Sample Date,nearest_dam_id,distance_to_dam_km,dam_count_within_5km,dam_area_sum_within_5km,dam_count_within_10km,dam_area_sum_within_10km,dam_count_within_25km,dam_area_sum_within_25km,sample_elevation,position_relative_to_dam,TYPE,AREA,PERIMETER,AREA_KM2,Shape_Length,Shape_Area,area_perimeter_ratio,compactness,log1p_area,log1p_perimeter,shape_factor,season,evap_proxy
-28.760833,17.730278,02-01-2011,382,211.30642157707598,0,0,0,0,0,0,166,downstream,RESERVOIR,1.69508367e-05,0.025746167,1.69508366e-11,0.025746165,1.69508361816689e-05,0.000658383,0.3213482180094035,1.6950692517868753e-05,0.025420313558983658,6.253411155231943,1,2.5426254899999996e-11
-26.861111,28.884722,03-01-2011,149,34.55940764416725,0,0,0,0,0,0,1526,downstream,RESERVOIR,0.000527069,0.114202097,5.27069444e-10,0.1142021,0.000527069,0.004615234,0.5078430725334462,0.000526931,0.10813854346419284,4.974393826,1,7.906041659999999e-10
-26.45,28.085833,03-01-2011,127,25.25862729156921,0,0,0,0,0,0,1475,downstream,RESERVOIR,8.53391066e-06,0.011252279,8.53391056e-12,0.011252278,8.53391074131028e-06,0.000758416,0.846987559,8.533874327701176e-06,0.011189442331630179,3.8518238368365125,1,1.2800865840000001e-11
-27.671111,27.236944,03-01-2011,210,5.665572169553021,0,0,2,0.000321674,2,0.000321674,1345,downstream,RESERVOIR,0.000222227,0.085176773,2.2222657e-10,0.085176772,0.000222227,0.002609004,0.38491379426797745,0.000222202,0.081742898,5.713775787287852,1,3.33339855e-10
-27.356667,27.286389,03-01-2011,189,27.781019654805217,0,0,0,0,0,0,1360,downstream,RESERVOIR,7.32354383e-05,0.047322422,7.32354385e-11,0.047322423,7.32354356675199e-05,0.001547584,0.41095776682549845,7.323275408392502e-05,0.046236834,5.529760674354684,1,1.0985315775e-10
-27.01011111,26.69808333,04-01-2011,162,24.88484154908913,0,0,0,0,1,0.000265164,1291,downstream,RESERVOIR,0.000265164,0.162562072,2.65163558e-10,0.162562074,0.000265164,0.001631153,0.12609133255728153,0.000265128,0.15062625430382373,9.983028587851917,1,3.97745337e-10
-25.127778,27.628889,04-01-2011,58,19.69636163169441,0,0,0,0,1,0.001261172,957,downstream,RESERVOIR,0.001261172,0.359773606,1.26117206e-09,0.359773612,0.001261172,0.00350546,0.12244063323492824,0.001260377,0.3073182240072765,10.130762835767685,1,1.89175809e-09
-25.20639,27.558,04-01-2011,72,14.61042114646635,0,0,0,0,5,0.001872681,957,downstream,ISLAND,1.71821739e-06,0.005231775,1.71821737e-12,0.005231775,1.71821724917936e-06,0.00032842,0.7888416351501695,1.7182157730457932e-06,0.005218137,3.9912599994541806,1,2.577326055e-12
-24.69514,27.40906,04-01-2011,51,37.01740509853239,0,0,0,0,0,0,912,downstream,RESERVOIR,0.000114786,0.062188707,1.14786278e-10,0.062188704,0.000114786,0.001845774,0.3729724804882843,0.00011478,0.060331595,5.804523015634366,1,1.7217941699999999e-10
-26.98472222,26.63227778,04-01-2011,162,20.466894814231836,0,0,0,0,1,0.000265164,1289,downstream,RESERVOIR,0.000265164,0.162562072,2.65163558e-10,0.162562074,0.000265164,0.001631153,0.12609133255728153,0.000265128,0.15062625430382373,9.983028587851917,1,3.97745337e-10
-28.141944,26.417778,04-01-2011,226,58.42056773977057,0,0,0,0,0,0,1270,upstream,ISLAND,6.85322448e-07,0.003381923,6.85322459e-13,0.003381924,6.85322497128486e-07,0.000202643,0.7529693249977738,6.853222622951307e-07,0.003376218,4.085227906098692,1,1.0279836885e-12
-27.398611,26.614722,04-01-2011,213,66.23574695410774,0,0,0,0,0,0,1261,upstream,ISLAND,2.8188424e-06,0.011906549,2.81884238e-12,0.011906549,2.81884224637634e-06,0.000236747,0.24986694356414788,2.818838273448001e-06,0.011836224041506095,7.091702847606732,1,4.22826357e-12
-33.501667,21.624167,04-01-2011,526,7.7225036483091705,0,0,1,3.92537077952748e-05,2,0.000644732,242,downstream,RESERVOIR,3.92537077e-05,0.067485943,3.92537079e-11,0.067485941,3.92537077952748e-05,0.000581658,0.10830884580566061,3.925293738864777e-05,0.065306296,10.771420194548648,1,5.888056185e-11
-32.502778,19.535833,04-01-2011,474,37.60321017,0,0,0,0,0,0,384,upstream,RESERVOIR,0.000488693,0.137266636,4.88692642e-10,0.137266639,0.000488693,0.003560171,0.32592349515590635,0.000488573,0.12862769836374935,6.209363686625268,1,7.330389629999999e-10
-25.45963889,28.26430556,04-01-2011,77,7.778292677600209,0,0,1,3.64398349562171e-05,4,0.000557207,1101,upstream,RESERVOIR,3.64398365e-05,0.055760581,3.64398373e-11,0.055760581,3.64398349562171e-05,0.000653505,0.14727590167322607,3.6439171041559864e-05,0.054261437,9.237173199657732,1,5.465975595e-11
-27.495556,26.074722,04-01-2011,212,17.972405080871813,0,0,0,0,21,6.955661476907962e-05,1251,upstream,ISLAND,2.85922761e-06,0.008380772,2.85922761e-12,0.008380772,2.85922816384471e-06,0.000341165,0.511553,2.8592240762596547e-06,0.008345848,4.956323143650754,1,4.288841415e-12
-26.648056,27.089444,05-01-2011,153,2.2545084897524608,1,4.92621323523948e-05,2,0.000100075,4,0.000812748,1358,in_dam,RESERVOIR,4.9262133e-05,0.043321159,4.92621326e-11,0.043321157,4.92621323523948e-05,0.001137138,0.3298549295843475,4.926091901340046e-05,0.042409045,6.172249065033335,1,7.38931989e-11
