,Latitude,Longitude,year,month,aet_month,def_month,pdsi_month,pet_month,ppt_month,q_month,soil_month,srad_month,swe_month,tmax_month,tmin_month,vap_month,vpd_month,ws_month,evap_concentration_idx,water_deficit,dilution_potential,inverse_flow,runoff_flashiness,bio_uptake_potential,ppt_month_lag1,ppt_month_lag3,tmax_month_lag1,tmax_month_lag3,soil_month_lag1,soil_month_lag3,pet_month_lag1,pet_month_lag3,ppt_month_roll_mean_3m,tmax_month_roll_mean_3m,water_deficit_roll_mean_3m,flush_shock,month_sin,month_cos
0,-34.405833,19.600556,2011,7,21.2,137.5,-2.95,158.7,20.3,1.0,9.0,315.9996,0.0,24.16,13.9,1.4440001,0.87,2.9099998,7.817733605037752,138.39999999999998,3.0587070727153796,0.9999990000010001,182.70000000000002,7634.550335999999,,,,,,,,,,,,,-0.4999999999999997,-0.8660254037844388
1,-34.405833,19.600556,2011,8,9.8,164.3,-3.28,174.1,8.9,0.4,7.7000003,320.29883,0.0,27.539999,17.19,1.9030001,0.93,3.6799998,19.56179555485443,165.2,2.2925347571405443,2.499993750015625,68.53000267,8821.029457901172,20.3,,24.16,,9.0,,158.7,,,,,,-0.8660254037844384,-0.5000000000000004
2,-34.405833,19.600556,2011,9,9.8,164.3,-3.28,174.1,8.9,0.4,7.7000003,320.29883,0.0,27.539999,17.19,1.9030001,0.93,3.6799998,19.56179555485443,165.2,2.2925347571405443,2.499993750015625,68.53000267,8821.029457901172,8.9,,27.539999,,7.7000003,,174.1,,12.700000000000001,26.413332666666665,156.26666666666665,0.7007873463946972,-1.0,-1.8369701987210297e-16
3,-34.405833,19.600556,2011,10,9.8,164.3,-3.28,174.1,8.9,0.4,7.7000003,320.29883,0.0,27.539999,17.19,1.9030001,0.93,3.6799998,19.56179555485443,165.2,2.2925347571405443,2.499993750015625,68.53000267,8821.029457901172,8.9,20.3,27.539999,24.16,7.7000003,9.0,174.1,158.7,8.9,27.539999,165.2,0.9999998876404621,-0.8660254037844386,0.5000000000000001
4,-34.405833,19.600556,2012,6,11.3,150.40001,-0.48999998,161.7,8.9,0.4,10.5,316.704,0.0,25.81,15.71,1.7630001,0.79999995,3.27,18.168537284434013,152.79999999999998,2.2925347571405443,2.499993750015625,93.45,8174.1302399999995,,,,,,,,,,,,,1.2246467991473532e-16,-1.0
5,-34.405833,19.600556,2012,7,25.6,143.1,-1.0,168.7,25.1,1.3,8.7,319.89648,0.0,26.22,16.47,1.8230001,0.83,4.12,6.721115270075088,143.6,3.261935314328648,0.7692301775152481,218.37,8387.685705599999,8.9,,25.81,,10.5,,161.7,,,,,,-0.4999999999999997,-0.8660254037844388
6,-34.405833,19.600556,2012,8,25.6,143.1,-1.0,168.7,25.1,1.3,8.7,319.89648,0.0,26.22,16.47,1.8230001,0.83,4.12,6.721115270075088,143.6,3.261935314328648,0.7692301775152481,218.37,8387.685705599999,25.1,,26.22,,8.7,,168.7,,19.7,26.083333333333332,146.66666666666666,1.2741116104511874,-0.8660254037844384,-0.5000000000000004
7,-34.405833,19.600556,2012,9,25.6,143.1,-1.0,168.7,25.1,1.3,8.7,319.89648,0.0,26.22,16.47,1.8230001,0.83,4.12,6.721115270075088,143.6,3.261935314328648,0.7692301775152481,218.37,8387.685705599999,25.1,8.9,26.22,25.81,8.7,10.5,168.7,161.7,25.1,26.22,143.6,0.9999999601593641,-1.0,-1.8369701987210297e-16
8,-34.405833,19.600556,2012,10,25.6,143.1,-1.0,168.7,25.1,1.3,8.7,319.89648,0.0,26.22,16.47,1.8230001,0.83,4.12,6.721115270075088,143.6,3.261935314328648,0.7692301775152481,218.37,8387.685705599999,25.1,25.1,26.22,26.22,8.7,8.7,168.7,168.7,25.1,26.22,143.6,0.9999999601593641,-0.8660254037844386,0.5000000000000001
9,-34.405833,19.600556,2012,11,25.6,143.1,-1.0,168.7,25.1,1.3,8.7,319.89648,0.0,26.22,16.47,1.8230001,0.83,4.12,6.721115270075088,143.6,3.261935314328648,0.7692301775152481,218.37,8387.685705599999,25.1,25.1,26.22,26.22,8.7,8.7,168.7,168.7,25.1,26.22,143.6,0.9999999601593641,-0.5000000000000004,0.8660254037844384
10,-34.405833,19.600556,2013,1,11.5,151.3,1.02,162.8,8.9,0.4,10.8,320.0006,0.0,25.57,15.29,1.7030001,0.81,3.1899998,18.29213277616486,153.9,2.2925347571405443,2.499993750015625,96.12,8182.415342,,25.1,,26.22,,8.7,,168.7,,,,,0.49999999999999994,0.8660254037844387
