sample_lat,sample_lon,Sample Date,distance_to_dam_km,dam_count_within_5km,dam_area_sum_within_5km,dam_count_within_10km,dam_area_sum_within_10km,dam_count_within_25km,dam_area_sum_within_25km,sample_elevation,position_relative_to_dam,TYPE,AREA,PERIMETER,AREA_KM2,Shape_Length,Shape_Area,area_perimeter_ratio,compactness,log1p_area,log1p_perimeter,shape_factor,season,evap_proxy
-28.760833,17.730278,02-01-2011,211.30642157707598,0,0.0,0,0.0,0,0.0,166.0,downstream,RESERVOIR,1.69508367e-05,0.0257461667,1.69508366e-11,0.0257461649523792,1.69508361816689e-05,0.0006583829557669363,0.3213482180094035,1.6950692517868753e-05,0.025420313558983658,6.253411155231943,1,2.5426254899999996e-11
-26.861111,28.884722,03-01-2011,34.55940764416725,0,0.0,0,0.0,0,0.0,1526.0,downstream,RESERVOIR,0.000527069438,0.114202097,5.27069444e-10,0.114202100112562,0.0005270694561698,0.004615234357736721,0.5078430725334462,0.0005269306038517212,0.10813854346419284,4.97439382620065,1,7.906041659999999e-10
-26.45,28.085833,03-01-2011,25.25862729156921,0,0.0,0,0.0,0,0.0,1475.0,downstream,RESERVOIR,8.53391066e-06,0.0112522785,8.53391056e-12,0.0112522782892192,8.53391074131028e-06,0.0007584162532425276,0.846987558642546,8.533874327701176e-06,0.011189442331630179,3.8518238368365125,1,1.2800865840000001e-11
-27.671111,27.236944,03-01-2011,5.665572169553021,0,0.0,2,0.0003216739606763004,2,0.0003216739606763004,1345.0,downstream,RESERVOIR,0.000222226576,0.0851767734,2.2222657e-10,0.0851767723989303,0.0002222265632805,0.002609004274511367,0.38491379426797745,0.00022220187461537,0.0817428975917524,5.713775787287852,1,3.33339855e-10
-27.356667,27.286389,03-01-2011,27.781019654805217,0,0.0,0,0.0,0,0.0,1360.0,downstream,RESERVOIR,7.32354383e-05,0.0473224223,7.32354385e-11,0.0473224226860329,7.32354356675199e-05,0.0015475842425030275,0.41095776682549845,7.323275408392502e-05,0.04623683356111991,5.529760674354684,1,1.0985315775e-10
-27.01011111,26.69808333,04-01-2011,24.88484154908913,0,0.0,0,0.0,1,0.00026516355627,1291.0,downstream,RESERVOIR,0.000265163544,0.162562072,2.65163558e-10,0.162562074303162,0.00026516355627,0.0016311526375694823,0.12609133255728153,0.00026512840662767863,0.15062625430382373,9.983028587851917,1,3.97745337e-10
-25.127778,27.628889,04-01-2011,19.69636163169441,0,0.0,0,0.0,1,0.0012611719859115,957.0,downstream,RESERVOIR,0.001261172,0.359773606,1.26117206e-09,0.359773611837261,0.0012611719859115,0.003505459945957542,0.12244063323492824,0.0012603773765450233,0.3073182240072765,10.130762835767685,1,1.89175809e-09
-25.20639,27.558,04-01-2011,14.61042114646635,0,0.0,0,0.0,5,0.0018726812819796104,957.0,downstream,ISLAND,1.71821739e-06,0.00523177534,1.71821737e-12,0.0052317749836755,1.71821724917936e-06,0.00032841956204390007,0.7888416351501695,1.7182157730457932e-06,0.005218136796206546,3.9912599994541806,1,2.577326055e-12
-24.69514,27.40906,04-01-2011,37.01740509853239,0,0.0,0,0.0,0,0.0,912.0,downstream,RESERVOIR,0.000114786279,0.0621887073,1.14786278e-10,0.0621887044334712,0.0001147862699693,0.0018457736177837783,0.3729724804882843,0.00011477968252950688,0.06033159482560397,5.804523015634366,1,1.7217941699999999e-10
-26.98472222,26.63227778,04-01-2011,20.466894814231836,0,0.0,0,0.0,1,0.00026516355627,1289.0,downstream,RESERVOIR,0.000265163544,0.162562072,2.65163558e-10,0.162562074303162,0.00026516355627,0.0016311526375694823,0.12609133255728153,0.00026512840662767863,0.15062625430382373,9.983028587851917,1,3.97745337e-10
-28.141944,26.417778,04-01-2011,58.42056773977057,0,0.0,0,0.0,0,0.0,1270.0,upstream,ISLAND,6.85322448e-07,0.00338192307,6.85322459e-13,0.0033819235367339,6.85322497128486e-07,0.00020264281243558062,0.7529693249977738,6.853222622951307e-07,0.0033762176941928342,4.085227906098692,1,1.0279836885e-12
-27.398611,26.614722,04-01-2011,66.23574695410774,0,0.0,0,0.0,0,0.0,1261.0,upstream,ISLAND,2.8188424e-06,0.0119065493,2.81884238e-12,0.0119065493293498,2.81884224637634e-06,0.00023674720258296076,0.24986694356414788,2.818838273448001e-06,0.011836224041506095,7.091702847606732,1,4.22826357e-12
-33.501667,21.624167,04-01-2011,7.7225036483091705,0,0.0,1,3.92537077952748e-05,2,0.0006447319428772748,242.0,downstream,RESERVOIR,3.92537077e-05,0.0674859434,3.92537079e-11,0.0674859414389746,3.92537077952748e-05,0.0005816575564881024,0.10830884580566061,3.925293738864777e-05,0.06530629642172069,10.771420194548648,1,5.888056185e-11
-32.502778,19.535833,04-01-2011,37.6032101701765,0,0.0,0,0.0,0,0.0,384.0,upstream,RESERVOIR,0.000488692662,0.137266636,4.88692642e-10,0.13726663910794,0.0004886926482931,0.003560170566318412,0.32592349515590635,0.0004885732769298738,0.12862769836374935,6.209363686625268,1,7.330389629999999e-10
-25.45963889,28.26430556,04-01-2011,7.778292677600209,0,0.0,1,3.64398349562171e-05,4,0.0005572070606185317,1101.0,upstream,RESERVOIR,3.64398365e-05,0.055760581,3.64398373e-11,0.0557605806439682,3.64398349562171e-05,0.0006535052995274971,0.14727590167322607,3.6439171041559864e-05,0.05426143670352316,9.237173199657732,1,5.465975595e-11
-27.495556,26.074722,04-01-2011,17.972405080871813,0,0.0,0,0.0,21,6.955661476907962e-05,1251.0,upstream,ISLAND,2.85922761e-06,0.00838077161,2.85922761e-12,0.0083807718961766,2.85922816384471e-06,0.00034116525290563696,0.511553000290836,2.8592240762596547e-06,0.00834584821664771,4.956323143650754,1,4.288841415e-12
-26.648056,27.089444,05-01-2011,2.2545084897524608,1,4.92621323523948e-05,2,0.000100074678486436,4,0.000812748066683136,1358.0,in_dam,RESERVOIR,4.9262133e-05,0.0433211587,4.92621326e-11,0.0433211568893985,4.92621323523948e-05,0.0011371379687995598,0.3298549295843475,4.926091901340046e-05,0.04240904510281227,6.172249065033335,1,7.38931989e-11
-26.970278,27.211111,05-01-2011,31.010449382056713,0,0.0,0,0.0,0,0.0,1325.0,downstream,RESERVOIR,5.08125449e-05,0.030107243,5.08125451e-11,0.030107245388569,5.08125461340412e-05,0.001687718204590241,0.7044315139780191,5.081125522034845e-05,0.029662918557727402,4.223626865580755,1,7.621881765e-11
-27.38972222,26.46388889,05-01-2011,53.664705119858105,0,0.0,0,0.0,0,0.0,1251.0,upstream,ISLAND,2.8188424e-06,0.0119065493,2.81884238e-12,0.0119065493293498,2.81884224637634e-06,0.00023674720258296076,0.24986694356414788,2.818838273448001e-06,0.011836224041506095,7.091702847606732,1,4.22826357e-12
-27.044444,27.005,05-01-2011,41.933666105598654,0,0.0,0,0.0,0,0.0,1313.0,downstream,RESERVOIR,5.08125449e-05,0.030107243,5.08125451e-11,0.030107245388569,5.08125461340412e-05,0.001687718204590241,0.7044315139780191,5.081125522034845e-05,0.029662918557727402,4.223626865580755,1,7.621881765e-11
-30.830556,26.921389,06-01-2011,45.09959515228878,0,0.0,0,0.0,0,0.0,1336.0,downstream,RESERVOIR,7.21491233e-05,0.0478493609,7.214912e-11,0.0478493582178367,7.2149127462945e-05,0.0015078389794273624,0.3959940978853528,7.214652483983207e-05,0.046739833408403486,5.633270106772433,1,1.0822368e-10
-27.00222,28.76528,06-01-2011,32.88051841585282,0,0.0,0,0.0,0,0.0,1500.0,downstream,RESERVOIR,7.39570969e-05,0.0404288769,7.39570974e-11,0.0404288770737794,7.39570949056202e-05,0.001829313605936302,0.5685993380317204,7.395436021450913e-05,0.03963300994898622,4.7011245471445395,1,1.109356461e-10
-27.02314,28.59389,06-01-2011,25.722343345030602,0,0.0,0,0.0,0,0.0,1491.0,upstream,ISLAND,9.70133442e-06,0.012686925,9.70133435e-12,0.0126869244382447,9.70133416841998e-06,0.0007646718647121962,0.757405791794772,9.701287110782003e-06,0.012607119688116545,4.073245825349159,1,1.4552001525000002e-11
-30.679722,26.7125,06-01-2011,19.576480723491485,0,0.0,0,0.0,1,7.2149127462945e-05,1300.0,downstream,RESERVOIR,7.21491233e-05,0.0478493609,7.214912e-11,0.0478493582178367,7.2149127462945e-05,0.0015078389794273624,0.3959940978853528,7.214652483983207e-05,0.046739833408403486,5.633270106772433,1,1.0822368e-10
