Latitude,Longitude,Sample Date,aet,def,pdsi,pet,ppt,q,soil,srad,swe,tmax,tmin,vap,vpd,ws,temp_range,temp_mean,net_precipitation,runoff_ratio,drought_soil_interaction,drying_power,ppt_anomaly,pet_anomaly,aet_anomaly,def_anomaly,pdsi_anomaly,q_anomaly,soil_anomaly,tmax_anomaly,tmin_anomaly,vpd_anomaly,srad_anomaly
-28.760833,17.730278,2011-01-02,31.1,143.1,3.6499999,174.2,32.7,1.6,0.0,270.2007,0.0,36.1,22.689999,1.4710001,2.9199998,2.02,13.41,29.394999,-141.4999969482422,0.048928167334332286,0.0,788.986,-37.65159059474412,18.51204,-32.26584,50.777878,5.088783,-2.5608575380359615,-8.078008,7.9538174,9.114177,1.6134992,11.685852
-26.861111,28.884722,2011-01-03,53.8,70.3,0.65999997,124.1,51.1,2.6,12.8,227.50043,0.0,27.16,13.219999,1.6200001,0.95,1.8499999,13.940001,20.189999,-72.9999984741211,0.05087963053560596,8.448,216.1254,-19.251590594744123,-31.58796,-9.565838,-22.022125,2.0987828,-1.5608575380359615,4.7219925,-0.98618126,-0.35582256,-0.3565007,-31.014435
-26.45,28.085833,2011-01-03,60.8,66.700005,-1.16,127.5,62.7,3.1,6.8,230.89938,0.0,27.519999,14.09,1.6320001,1.02,1.8199999,13.429998,20.805,-64.8,0.049440997751232035,-7.888,235.51736,-7.651590594744121,-28.187958,-2.5658379,-25.622124,0.27878284,-1.0608575380359615,-1.2780075,-0.62618256,0.5141783,-0.2865007,-27.615479
-27.671111,27.236944,2011-01-03,83.200005,46.5,2.84,129.7,84.2,4.2,7.2000003,220.2994,0.0,28.869999,14.639999,1.6140001,1.22,1.89,14.23,21.755,-45.499996948242185,0.049880642747710834,20.448,268.76526,13.848409405255879,-25.98796,19.834167,-45.82213,4.278783,0.03914246196403859,-0.8780074,0.7238178,1.0641775,-0.086500645,-38.21547
-27.356667,27.286389,2011-01-03,77.3,51.9,2.6499999,129.2,78.0,3.9000000000000004,7.8,222.9,0.0,28.67,14.69,1.636,1.18,1.8399999,13.9800005,21.68,-51.19999694824219,0.049999358982577145,20.67,263.02197,7.648409405255876,-26.48796,13.934166,-40.422127,4.088783,-0.26085753803596123,-0.2780075,0.52381897,1.1141777,-0.12650073,-35.61487
-27.01011111,26.69808333,2011-01-04,98.6,0.0,3.0,98.6,106.0,5.300000000000001,5.9,166.39838,0.0,24.18,9.809999,1.2090001,0.90999997,2.34,14.370001,16.994999,7.400001525878906,0.049999528306336735,17.7,151.42252,35.648409405255876,-57.08796,35.23416,-92.32213,4.4387827,1.1391424619640391,-2.1780076,-3.9661808,-3.7658224,-0.3965007,-92.116486
-25.127778,27.628889,2011-01-04,105.5,0.0,2.0,105.5,135.1,6.800000000000001,24.0,178.90335,0.0,27.17,12.62,1.4870001,1.05,2.0,14.55,19.895,29.599999999999994,0.050332714043567414,48.0,187.84851,64.74840940525587,-50.187958,42.134163,-92.32213,3.4387827,2.639142461964039,15.921992,-0.97618103,-0.955822,-0.25650072,-79.61151
-25.20639,27.558,2011-01-04,103.700005,0.0,1.9599999,103.700005,143.4,7.2,33.600002,177.49634,0.0,27.0,12.5199995,1.4770001,1.04,1.92,14.4800005,19.76,39.69999542236329,0.05020885488943592,65.856,184.59619,73.04840940525588,-51.987953,40.334167,-92.32213,3.3987827,3.0391424619640386,25.521996,-1.1461811,-1.0558224,-0.2665007,-81.018524
-24.69514,27.40906,2011-01-04,111.8,0.0,2.01,111.8,141.1,7.1000000000000005,23.6,183.29826,0.0,27.74,13.49,1.5300001,1.12,2.25,14.25,20.615,29.299996948242182,0.05031856613347886,47.436,205.29405,70.74840940525587,-43.887955,48.434166,-92.32213,3.448783,2.939142461964039,15.521993,-0.40618134,-0.085822105,-0.18650067,-75.2166
-26.98472222,26.63227778,2011-01-04,98.200005,0.0,2.98,98.200005,109.30000000000001,5.5,10.7,166.09799,0.0,24.35,9.98,1.2110001,0.93,2.22,14.370001,17.165,11.099995422363293,0.050319759197079615,31.886,154.47113,38.94840940525589,-57.487953,34.834167,-92.32213,4.4187827,1.3391424619640384,2.621992,-3.7961807,-3.5958223,-0.37650067,-92.41687
-28.141944,26.417778,2011-01-04,87.700005,6.1,3.82,93.8,90.9,4.5,4.8,159.19734,0.0,23.88,8.78,1.149,0.90999997,2.12,15.099999,16.33,-2.900003051757807,0.049504405892124397,18.336,144.86958,20.54840940525588,-61.887955,24.334167,-86.22213,5.258783,0.3391424619640384,-3.2780075,-4.266182,-4.795822,-0.3965007,-99.31752
-27.398611,26.614722,2011-01-04,92.700005,8.2,3.22,100.9,97.2,4.9,2.9,164.89651,0.0,24.8,9.87,1.2010001,0.97999996,2.36,14.929999,17.335,-3.7000015258789034,0.05041100400201644,9.338,161.59857,26.84840940525588,-54.787956,29.334167,-84.12213,4.658783,0.7391424619640388,-5.1780076,-3.3461819,-3.705822,-0.3265007,-93.61835
-33.501667,21.624167,2011-01-04,15.5,84.700005,-3.02,100.200005,16.3,0.8,0.1,180.9032,0.0,24.55,9.33,1.161,0.97999996,2.59,15.219999,16.939999,-83.90000457763672,0.04907674375805165,-0.30200002,177.28513,-54.05159059474413,-55.487953,-47.865837,-7.6221237,-1.5812172,-3.3608575380359618,-7.978008,-3.5961819,-4.245822,-0.3265007,-77.611664
-32.502778,19.535833,2011-01-04,15.400001,104.5,-2.78,119.9,16.2,0.8,0.6,187.59833,0.0,27.06,10.92,1.098,1.35,2.77,16.14,18.99,-103.7000015258789,0.04937966792173323,-1.6680001,253.25775,-54.15159059474412,-35.787956,-47.965836,12.177872,-1.3412172,-3.3608575380359618,-7.478008,-1.0861816,-2.6558218,0.04349935,-70.916534
-25.45963889,28.26430556,2011-01-04,103.6,0.0,2.06,103.6,141.9,7.1000000000000005,32.5,176.60312,0.0,26.4,12.04,1.4030001,1.03,2.06,14.36,19.22,38.30000152587891,0.05003488347509884,66.95,181.90121,71.54840940525588,-52.08796,40.23416,-92.32213,3.4987826,2.939142461964039,24.421993,-1.7461815,-1.5358219,-0.2765007,-81.91174
