Latitude,Longitude,Sample Date,aet,def,pdsi,pet,ppt,q,soil,srad,swe,tmax,tmin,vap,vpd,ws,temp_range,temp_mean,net_precipitation,runoff_ratio,drought_soil_interaction,drying_power
-28.760833,17.730278,02-01-2011,31.1,143.1,3.6499999,174.2,32.7,1.6,0.0,270.2007,0.0,36.1,22.689999,1.4710001,2.9199998,2.02,13.41,29.394999,-141.4999969482422,0.048928167334332286,0.0,788.986
-26.861111,28.884722,03-01-2011,53.8,70.3,0.65999997,124.1,51.1,2.6,12.8,227.50043,0.0,27.16,13.219999,1.6200001,0.95,1.8499999,13.940001,20.189999,-72.9999984741211,0.05087963053560596,8.448,216.1254
-26.45,28.085833,03-01-2011,60.8,66.700005,-1.16,127.5,62.7,3.1,6.8,230.89938,0.0,27.519999,14.09,1.6320001,1.02,1.8199999,13.429998,20.805,-64.8,0.049440997751232035,-7.888,235.51736
-27.671111,27.236944,03-01-2011,83.200005,46.5,2.84,129.7,84.2,4.2,7.2000003,220.2994,0.0,28.869999,14.639999,1.6140001,1.22,1.89,14.23,21.755,-45.499996948242185,0.049880642747710834,20.448,268.76526
-27.356667,27.286389,03-01-2011,77.3,51.9,2.6499999,129.2,78.0,3.9000000000000004,7.8,222.9,0.0,28.67,14.69,1.636,1.18,1.8399999,13.9800005,21.68,-51.19999694824219,0.049999358982577145,20.67,263.02197
-27.01011111,26.69808333,04-01-2011,98.6,0.0,3.0,98.6,106.0,5.300000000000001,5.9,166.39838,0.0,24.18,9.809999,1.2090001,0.90999997,2.34,14.370001,16.994999,7.400001525878906,0.049999528306336735,17.7,151.42252
-25.127778,27.628889,04-01-2011,105.5,0.0,2.0,105.5,135.1,6.800000000000001,24.0,178.90335,0.0,27.17,12.62,1.4870001,1.05,2.0,14.55,19.895,29.599999999999994,0.050332714043567414,48.0,187.84851
-25.20639,27.558,04-01-2011,103.700005,0.0,1.9599999,103.700005,143.4,7.2,33.600002,177.49634,0.0,27.0,12.5199995,1.4770001,1.04,1.92,14.4800005,19.76,39.69999542236329,0.05020885488943592,65.856,184.59619
-24.69514,27.40906,04-01-2011,111.8,0.0,2.01,111.8,141.1,7.1000000000000005,23.6,183.29826,0.0,27.74,13.49,1.5300001,1.12,2.25,14.25,20.615,29.299996948242182,0.05031856613347886,47.436,205.29405
-26.98472222,26.63227778,04-01-2011,98.200005,0.0,2.98,98.200005,109.30000000000001,5.5,10.7,166.09799,0.0,24.35,9.98,1.2110001,0.93,2.22,14.370001,17.165,11.099995422363293,0.050319759197079615,31.886,154.47113
-28.141944,26.417778,04-01-2011,87.700005,6.1,3.82,93.8,90.9,4.5,4.8,159.19734,0.0,23.88,8.78,1.149,0.90999997,2.12,15.099999,16.33,-2.900003051757807,0.049504405892124397,18.336,144.86958
-27.398611,26.614722,04-01-2011,92.700005,8.2,3.22,100.9,97.2,4.9,2.9,164.89651,0.0,24.8,9.87,1.2010001,0.97999996,2.36,14.929999,17.335,-3.7000015258789034,0.05041100400201644,9.338,161.59857
-33.501667,21.624167,04-01-2011,15.5,84.700005,-3.02,100.200005,16.3,0.8,0.1,180.9032,0.0,24.55,9.33,1.161,0.97999996,2.59,15.219999,16.939999,-83.90000457763672,0.04907674375805165,-0.30200002,177.28513
-32.502778,19.535833,04-01-2011,15.400001,104.5,-2.78,119.9,16.2,0.8,0.6,187.59833,0.0,27.06,10.92,1.098,1.35,2.77,16.14,18.99,-103.7000015258789,0.04937966792173323,-1.6680001,253.25775
-25.45963889,28.26430556,04-01-2011,103.6,0.0,2.06,103.6,141.9,7.1000000000000005,32.5,176.60312,0.0,26.4,12.04,1.4030001,1.03,2.06,14.36,19.22,38.30000152587891,0.05003488347509884,66.95,181.90121
-27.495556,26.074722,04-01-2011,94.5,5.2000003,3.26,99.700005,99.5,5.0,0.4,164.0033,0.0,24.73,9.17,1.189,0.96,2.35,15.559999,16.95,-0.20000457763671875,0.050250751248731164,1.304,157.44316
-26.648056,27.089444,05-01-2011,70.5,13.0,4.21,83.5,63.300000000000004,3.2,12.2,167.10187,0.0,21.92,5.92,0.90200007,0.88,2.06,16.0,13.92,-20.199999999999996,0.05055212397908406,51.362,147.04964
