Latitude,Longitude,Sample Date,med_blue,med_green,med_red,med_nir,med_swir16,med_swir22,med_st_b10,med_NDMI,med_MNDWI,med_NDVI,med_NDTI,med_NDBI,med_UrbanScore,med_EVI,median_LST,urban_ratio,water_ratio,veg_ratio,bare_ratio,hot_ratio,corr_NDVI_LST,corr_NDBI_LST,corr_MNDWI_LST
-28.760833,17.730278,02-01-2011,9557.0,11426.0,12802.0,11190.0,7687.5,7645.0,44344.0,0.18553833929280794,0.19559473670442257,-0.06718906302100673,0.05679379230642209,-0.18553833929280794,-0.11834927627180121,-0.24685308260083766,44344.0,0.0,1.0,0.0,0.0,0.25,0.8442145219202966,-0.34008810635879266,-0.8730772852906483
-26.861111,28.884722,03-01-2011,8691.0,9550.0,9241.5,17658.5,13746.5,10574.0,45396.5,0.12456615188664187,-0.18013435494602117,0.31289962825278694,-0.016416997046536912,-0.12456615188664187,-0.43746578013942883,2.6548700479434437,45396.5,0.0,0.0,0.75,0.0,0.25,0.23363716553204641,0.42170692868702064,-0.44039396094031663
-26.45,28.085833,03-01-2011,9502.5,10720.0,12540.0,15210.0,17974.0,14201.0,41467.5,-0.08329315332690428,-0.2528054645570494,0.09621621621621587,0.07824591573516734,0.08329315332690428,-0.012923062889311596,0.34797794836371987,41467.5,1.0,0.0,0.0,0.0,0.25,0.0044255109625304075,-0.1562374341314783,-0.005180397732052907
-27.671111,27.236944,03-01-2011,9693.5,10943.0,11237.5,14887.0,13522.0,11403.0,46121.0,0.04804815375409185,-0.10541590026568524,0.13969645352064103,0.013277428371767935,-0.04804815375409185,-0.18774460727473288,0.9492288084895992,46121.0,0.25,0.3125,0.0,0.0,0.25,9.970379107906032e-05,0.6364597877365732,-0.4398610082158899
-27.356667,27.286389,03-01-2011,8718.0,9502.5,9290.0,16828.5,12665.5,9643.0,44381.0,0.1411473520037969,-0.14268314687838263,0.2886268353848794,-0.011307702540907218,-0.1411473520037969,-0.4297741873886763,2.6231818498155386,44381.0,0.0,0.0,0.4375,0.0,0.25,-0.13700087601023234,0.8094049067346327,-0.5098024736988126
-27.01011111,26.69808333,04-01-2011,9344.0,10433.5,10728.5,12433.5,9579.5,8531.5,44339.0,0.1296506609730608,0.04267226302903092,0.0736119506087554,0.013940081277761961,-0.1296506609730608,-0.2032626115818162,0.6337818749535257,44339.0,0.0,0.5625,0.0625,0.0,0.1875,0.8741973978169489,-0.26971647762373374,-0.8706655734926253
-25.127778,27.628889,04-01-2011,4984.0,5189.5,5122.0,7814.0,6664.0,5222.0,22583.0,0.07943086061610664,-0.12439363900957418,0.20810142238713505,-0.006546089317751961,-0.07943086061610664,-0.2875322830032417,5.766923736074912,22583.0,0.125,0.0,0.0,0.0,0.25,0.9942618901624789,-0.5677257243780245,-0.9723699582701094
-25.20639,27.558,04-01-2011,10039.0,10466.5,9985.0,14137.5,10315.5,8536.0,44583.0,0.1562998405103662,0.007265903185448912,0.17214219090061075,-0.023543505366354432,-0.1562998405103662,-0.32844203141097694,-8.345056270097134,44583.0,0.0,0.125,0.0,0.0,0.25,0.9418065491135774,-0.9006418561418926,-0.47944231873239856
-24.69514,27.40906,04-01-2011,9921.0,10647.0,10524.0,15543.0,11919.5,9642.5,45279.0,0.13194355939918023,-0.056388895043537744,0.1925422948555638,-0.0058098342071701585,-0.13194355939918023,-0.324485854254744,2.931316434995843,45279.0,0.0,0.0,0.0,0.0,0.25,0.9580118007876476,-0.8104288997678128,-0.7418020675346995
-26.98472222,26.63227778,04-01-2011,9414.0,10207.0,10262.5,13683.0,14011.5,11850.5,46784.0,-0.01186156095975731,-0.15709065383900672,0.14284521099997854,0.0027113510344658996,0.01186156095975731,-0.13098365004022122,1.837397937258233,46784.0,0.8125,0.0,0.0,0.0,0.25,-0.15339864000040013,0.5398074613381009,-0.39100751241565157
